"Город";"Куда";"до";"в(где)";"Поддомены";"Транспортная компания 1 ";"Адрес "
"Сургут";"Сургут";"Сургута";"Сургуте";"surgut";"Деловые Линии";"п. Восточный промрайон, Сосновая ул., 12 стр. 5"
"Сыктывкар";"Сыктывкар";"Сыктывкара";"Сыктывкаре";"syktyvkar";"Деловые Линии";"Сысольское ш., 33"
"Таганрог";"Таганрог";"Таганрога";"Таганроге";"taganrog";"Деловые Линии";"Чучева ул., 1"
"Тамбов";"Тамбов";"Тамбова";"Тамбове";"tambov";"Деловые Линии";"Островитянова ул., 9б"
"Тверь";"Тверь";"Твери";"Твери";"tver";"Деловые Линии";"п. Элеватор, 3-й переулок, 6, стр. 1"
"Тольятти";"Тольятти";"Тольятти";"Тольятти";"tolyatti";"Деловые Линии";"Коммунальная ул., 23"
"Томск";"Томск";"Томска";"Томске";"tomsk";"Деловые Линии";"Пушкина ул., 63, стр. 10"
"Тула";"Тулу";"Тулы";"Туле";"tula";"Деловые Линии";"д. Нижнее Елькино, 77"
"Тюмень";"Тюмень";"Тюмени";"Тюмени";"tyumen";"Деловые Линии";"Ялуторовский тракт, 11 км, 9д"
"Улан-Удэ";"Улан-Удэ";"Улан-Удэ";"Улан-Удэ";"ulan-ude";"Желдорэкспедиция";"ул. Дальненагорная, д. 62Б"
"Ульяновск";"Ульяновск";"Ульяновска";"Ульяновске";"ulyanovsk";"Деловые Линии";"ул. Ефремова, 52"
"Уфа";"Уфу";"Уфы";"Уфе";"ufa";"Деловые Линии";"Майкопская ул., 59."
"Хабаровск";"Хабаровск";"Хабаровска";"Хабаровске";"habarovsk";"Деловые Линии";"Целинная ул., 8"
"Ханты-Мансийск";"Ханты-Мансийск";"Ханты-Мансийска";"Ханты-Мансийске";"khanty-mansiysk";"Деловые Линии";"Объездная ул., 3"
"Чебоксары";"Чебоксары";"Чебоксар";"Чебоксарах";"cheboksary";"Деловые Линии";"Канашское ш., 7/1"
"Челябинск";"Челябинск";"Челябинска";"Челябинске";"Chelyabinsk";"Деловые Линии";"Свердловский тракт, 5"
"Чита";"Читу";"Читы";"Чите";"chita";"Деловые Линии";"Сухая Падь ул., 3"
"Якутск";"Якутск";"Якутска";"Якутске";"yakutsk";"Желдорэкспедиция";"ул. Автодорожная, 4/9"
"Ярославль";"Ярославль";"Ярославля";"Ярославле";"yaroslavl";"Деловые Линии";"Промышленная ул., 18д"
